,models,rcp85,rcp60,rcp45,rcp26
0,NorESM1-ME,-1.8740000000000236,-1.1229999999999336,1.3420000000000982,-0.3949999999999818
1,CESM1-BGC,206.12599999999998,129.4770000000001,88.74200000000008,36.10500000000002
2,GFDL-ESM2M,59.32600000000002,43.67700000000002,38.94200000000001,27.90500000000003
3,MIROC-ESM,212.92599999999993,95.17700000000002,59.3420000000001,24.805000000000007
4,IPSL-CM5A-LR,-10.07400000000007,-20.122999999999934,-13.157999999999902,-10.394999999999982
5,CanESM2,112.42599999999993,66.67700000000002,47.8420000000001,23.605000000000018
6,GFDL-ESM2G,61.42599999999993,41.077,35.04200000000003,22.40500000000003
7,HadGEM2-ES,62.226,44.97700000000009,38.94200000000001,32.60500000000002
8,MPI-ESM-LR,32.92599999999993,6.377000000000066,-0.8579999999999472,-1.8949999999999818
9,inmcm4,-21.874000000000024,-6.222999999999956,10.142000000000053,17.70500000000004
10,MRI-ESM1,-141.57400000000007,-86.82299999999998,-56.057999999999936,-31.694999999999993
11,bcc-ccsm1-1,22.42599999999993,11.177000000000021,12.142000000000053,5.5049999999999955
