,ccf_warming,model,ccf_variant,rcp,base_warming,total_warming,ccf_ppm,ecs,tcr
0,-0.0023079594578824976,bcc-csm1-1,NorESM1-ME,rcp26,1.8498304,1.8475224405421176,-0.3949999999999818,2.8,1.7
1,0.20230228376415302,bcc-csm1-1,CESM1-BGC,rcp26,1.8498304,2.052132683764153,36.10500000000002,2.8,1.7
2,0.15779568818128645,bcc-csm1-1,GFDL-ESM2M,rcp26,1.8498304,2.0076260881812864,27.90500000000003,2.8,1.7
3,0.1407578667331498,bcc-csm1-1,MIROC-ESM,rcp26,1.8498304,1.9905882667331498,24.805000000000007,2.8,1.7
4,-0.06147105864278184,bcc-csm1-1,IPSL-CM5A-LR,rcp26,1.8498304,1.7883593413572183,-10.394999999999982,2.8,1.7
5,0.13413074582454995,bcc-csm1-1,CanESM2,rcp26,1.8498304,1.98396114582455,23.605000000000018,2.8,1.7
6,0.12748570972161952,bcc-csm1-1,GFDL-ESM2G,rcp26,1.8498304,1.9773161097216196,22.40500000000003,2.8,1.7
7,0.18340405036460541,bcc-csm1-1,HadGEM2-ES,rcp26,1.8498304,2.0332344503646054,32.60500000000002,2.8,1.7
8,-0.011092155017184377,bcc-csm1-1,MPI-ESM-LR,rcp26,1.8498304,1.8387382449828158,-1.8949999999999818,2.8,1.7
9,0.10128496703165556,bcc-csm1-1,inmcm4,rcp26,1.8498304,1.9511153670316557,17.70500000000004,2.8,1.7
10,-0.1924453970727432,bcc-csm1-1,MRI-ESM1,rcp26,1.8498304,1.657385002927257,-31.694999999999993,2.8,1.7
11,0.03194182792707918,bcc-csm1-1,bcc-ccsm1-1,rcp26,1.8498304,1.8817722279270792,5.5049999999999955,2.8,1.7
0,-0.002851008742090144,bcc-csm1-1-m,NorESM1-ME,rcp26,1.7232738,1.72042279125791,-0.3949999999999818,2.9,2.1
1,0.24990282112042433,bcc-csm1-1-m,CESM1-BGC,rcp26,1.7232738,1.9731766211204245,36.10500000000002,2.9,2.1
2,0.1949240854004127,bcc-csm1-1-m,GFDL-ESM2M,rcp26,1.7232738,1.9181978854004127,27.90500000000003,2.9,2.1
3,0.17387736478800858,bcc-csm1-1-m,MIROC-ESM,rcp26,1.7232738,1.8971511647880086,24.805000000000007,2.9,2.1
4,-0.0759348371469658,bcc-csm1-1-m,IPSL-CM5A-LR,rcp26,1.7232738,1.6473389628530342,-10.394999999999982,2.9,2.1
5,0.16569092131267935,bcc-csm1-1-m,CanESM2,rcp26,1.7232738,1.8889647213126795,23.605000000000018,2.9,2.1
6,0.15748234730317703,bcc-csm1-1-m,GFDL-ESM2G,rcp26,1.7232738,1.880756147303177,22.40500000000003,2.9,2.1
7,0.22655794456804196,bcc-csm1-1-m,HadGEM2-ES,rcp26,1.7232738,1.949831744568042,32.60500000000002,2.9,2.1
8,-0.01370207384475717,bcc-csm1-1-m,MPI-ESM-LR,rcp26,1.7232738,1.709571726155243,-1.8949999999999818,2.9,2.1
9,0.1251167239802804,bcc-csm1-1-m,inmcm4,rcp26,1.7232738,1.8483905239802805,17.70500000000004,2.9,2.1
10,-0.23772666697221215,bcc-csm1-1-m,MRI-ESM1,rcp26,1.7232738,1.4855471330277878,-31.694999999999993,2.9,2.1
11,0.039457552145215465,bcc-csm1-1-m,bcc-ccsm1-1,rcp26,1.7232738,1.7627313521452155,5.5049999999999955,2.9,2.1
0,-0.003529820347349702,BNU-ESM,NorESM1-ME,rcp26,2.3084187,2.3048888796526503,-0.3949999999999818,4.1,2.6
1,0.30940349281576346,BNU-ESM,CESM1-BGC,rcp26,2.3084187,2.6178221928157632,36.10500000000002,4.1,2.6
2,0.24133458192432047,BNU-ESM,GFDL-ESM2M,rcp26,2.3084187,2.5497532819243203,27.90500000000003,4.1,2.6
3,0.21527673735658207,BNU-ESM,MIROC-ESM,rcp26,2.3084187,2.523695437356582,24.805000000000007,4.1,2.6
4,-0.09401456027719576,BNU-ESM,IPSL-CM5A-LR,rcp26,2.3084187,2.214404139722804,-10.394999999999982,4.1,2.6
5,0.2051411406728411,BNU-ESM,CanESM2,rcp26,2.3084187,2.513559840672841,23.605000000000018,4.1,2.6
6,0.19497814428012397,BNU-ESM,GFDL-ESM2G,rcp26,2.3084187,2.503396844280124,22.40500000000003,4.1,2.6
7,0.2805003123223377,BNU-ESM,HadGEM2-ES,rcp26,2.3084187,2.5889190123223376,32.60500000000002,4.1,2.6
8,-0.016964472379223165,BNU-ESM,MPI-ESM-LR,rcp26,2.3084187,2.2914542276207768,-1.8949999999999818,4.1,2.6
9,0.15490642016606146,BNU-ESM,inmcm4,rcp26,2.3084187,2.4633251201660613,17.70500000000004,4.1,2.6
10,-0.2943282543465484,BNU-ESM,MRI-ESM1,rcp26,2.3084187,2.0140904456534514,-31.694999999999993,4.1,2.6
11,0.04885220741788582,BNU-ESM,bcc-ccsm1-1,rcp26,2.3084187,2.3572709074178855,5.5049999999999955,4.1,2.6
0,-0.0032582957052458787,CanESM2,NorESM1-ME,rcp26,2.2941152,2.290856904294754,-0.3949999999999818,3.7,2.4
1,0.2856032241376278,CanESM2,CESM1-BGC,rcp26,2.2941152,2.5797184241376274,36.10500000000002,3.7,2.4
2,0.22277038331475738,CanESM2,GFDL-ESM2M,rcp26,2.2941152,2.516885583314757,27.90500000000003,3.7,2.4
3,0.19871698832915266,CanESM2,MIROC-ESM,rcp26,2.2941152,2.4928321883291527,24.805000000000007,3.7,2.4
4,-0.08678267102510377,CanESM2,IPSL-CM5A-LR,rcp26,2.2941152,2.207332528974896,-10.394999999999982,3.7,2.4
5,0.1893610529287764,CanESM2,CanESM2,rcp26,2.2941152,2.483476252928776,23.605000000000018,3.7,2.4
6,0.17997982548934519,CanESM2,GFDL-ESM2G,rcp26,2.2941152,2.474095025489345,22.40500000000003,3.7,2.4
7,0.2589233652206194,CanESM2,HadGEM2-ES,rcp26,2.2941152,2.553038565220619,32.60500000000002,3.7,2.4
8,-0.015659512965436766,CanESM2,MPI-ESM-LR,rcp26,2.2941152,2.278455687034563,-1.8949999999999818,3.7,2.4
9,0.14299054169174905,CanESM2,inmcm4,rcp26,2.2941152,2.4371057416917488,17.70500000000004,3.7,2.4
10,-0.27168761939681385,CanESM2,MRI-ESM1,rcp26,2.2941152,2.022427580603186,-31.694999999999993,3.7,2.4
11,0.04509434530881767,CanESM2,bcc-ccsm1-1,rcp26,2.2941152,2.3392095453088175,5.5049999999999955,3.7,2.4
0,-0.002443721778934409,CCSM4,NorESM1-ME,rcp26,1.8490389,1.8465951782210657,-0.3949999999999818,2.9,1.8
1,0.21420241810322085,CCSM4,CESM1-BGC,rcp26,1.8490389,2.0632413181032208,36.10500000000002,2.9,1.8
2,0.16707778748606802,CCSM4,GFDL-ESM2M,rcp26,1.8490389,2.016116687486068,27.90500000000003,2.9,1.8
3,0.1490377412468645,CCSM4,MIROC-ESM,rcp26,1.8490389,1.9980766412468645,24.805000000000007,2.9,1.8
4,-0.06508700326882783,CCSM4,IPSL-CM5A-LR,rcp26,1.8490389,1.7839518967311723,-10.394999999999982,2.9,1.8
5,0.1420207896965823,CCSM4,CanESM2,rcp26,1.8490389,1.9910596896965824,23.605000000000018,2.9,1.8
6,0.1349848691170089,CCSM4,GFDL-ESM2G,rcp26,1.8490389,1.9840237691170088,22.40500000000003,2.9,1.8
7,0.19419252391546454,CCSM4,HadGEM2-ES,rcp26,1.8490389,2.0432314239154645,32.60500000000002,2.9,1.8
8,-0.011744634724077576,CCSM4,MPI-ESM-LR,rcp26,1.8490389,1.8372942652759225,-1.8949999999999818,2.9,1.8
9,0.10724290626881176,CCSM4,inmcm4,rcp26,1.8490389,1.9562818062688119,17.70500000000004,2.9,1.8
10,-0.20376571454761042,CCSM4,MRI-ESM1,rcp26,1.8490389,1.6452731854523897,-31.694999999999993,2.9,1.8
11,0.033820758981613255,CCSM4,bcc-ccsm1-1,rcp26,1.8490389,1.8828596589816133,5.5049999999999955,2.9,1.8
0,-0.003122533384193967,CESM1-CAM5,NorESM1-ME,rcp26,2.0079438,2.004821266615806,-0.3949999999999818,,2.3
